,RMSE,MAE,QLIKE
naive,0.00234,0.00174,0.18785
rolling5,0.00213,0.0016,0.13837
rolling20,0.00193,0.00142,0.10904
rolling50,0.00187,0.00138,0.10055
rolling100,0.00188,0.0014,0.10354
ewma092,0.00316,0.00239,0.67544
ewma030,0.0022,0.00162,0.13665
har1-5-22,0.0019,0.00145,0.10266
har1-5-22-66,0.00186,0.0014,0.09985
log_har1-5-22,0.00187,0.00137,0.10233
log_har1-5-22-66,0.00185,0.00134,0.10045
garch11,0.00189,0.00148,0.10009
