,RMSE,MAE,QLIKE
naive,0.00307,0.00218,0.25113
rolling5,0.0029,0.00207,0.19318
rolling50,0.00265,0.00193,0.14104
ewma090,0.00383,0.00275,0.64308
ewma030,0.00282,0.00203,0.1688
har,0.00251,0.00182,0.12838
garch11,0.00256,0.00197,0.13292
ols,0.00249,0.0018,0.12583
elastic_net_1,0.00286,0.00221,0.16821
elastic_net_1e-3,0.00286,0.00221,0.16821
gb_tree,0.00245,0.0018,0.12397
