,RMSE,MAE,QLIKE
naive,0.00269,0.002,0.22063
rolling5,0.00254,0.00185,0.17773
rolling50,0.00218,0.00156,0.12049
ewma090,0.0033,0.00243,0.66043
ewma030,0.00247,0.00182,0.15563
har,0.00217,0.0016,0.12048
garch11,0.00261,0.00215,0.15514
ols,0.00214,0.00157,0.11578
elastic_net_1,0.00242,0.00191,0.14452
elastic_net_1e-3,0.00242,0.00191,0.14452
gb_tree,0.00238,0.0016,0.11439
