Date,Period log return
2018-02-14,-0.004079263840379348
2018-02-21,0.0004645071323039719
2018-02-28,-0.02128832479670558
2018-03-07,0.010115273458350246
2018-03-14,-0.0004247183826516173
2018-03-21,-0.01176942902545478
2018-03-28,0.01039990518637898
2018-04-04,0.006971215384480523
2018-04-11,-0.0011684212180290742
2018-04-18,0.021598172500118338
2018-04-25,0.013221054892192385
2018-05-02,-0.011109252876831486
2018-05-09,0.01618813460704513
2018-05-16,0.005202634996569637
2018-05-23,-0.031071348359773633
2018-05-30,0.01746715242413648
2018-06-06,0.0073192104707647905
2018-06-13,-0.004635959850376041
2018-06-20,0.0003271602477489572
2018-06-27,0.0040563029570797
2018-07-04,0.005852839147351661
2018-07-11,0.03114429605302575
2018-07-18,-0.02379291454684279
2018-07-25,0.00705228354132416
2018-08-01,-0.006038147431756686
2018-08-08,-0.001273742978813294
2018-08-15,-0.01456622690165382
2018-08-22,0.012762581509999994
2018-08-29,0.003769777707429632
2018-09-05,0.0018154962198151166
2018-09-12,0.007691971315826918
2018-09-19,0.007970603182397265
2018-09-26,0.008350492493577636
2018-10-03,-0.0073356975407455225
2018-10-10,-0.007872760706750526
2018-10-17,0.001311739924389075
2018-10-24,0.007985657896532144
2018-10-31,0.003852289220769591
2018-11-07,0.005617429391302307
2018-11-14,-0.015813472862702117
2018-11-21,0.015292330885623841
2018-11-28,-0.016337525465915773
2018-12-05,0.009613010165609752
2018-12-12,-0.012180897956646439
2018-12-19,-0.030194224392661048
2018-12-26,-0.009824640642028025
2019-01-02,-0.011016228731235866
2019-01-09,-0.0013691735141059132
2019-01-16,0.00913521966948252
2019-01-23,0.0008221254342601394
2019-01-30,0.008259680373246276
2019-02-06,0.008656517513098658
2019-02-13,0.000847096869373811
2019-02-20,-0.00023613159922110776
2019-02-27,0.019760031033241195
2019-03-06,-0.008338597774431553
2019-03-13,0.0014351543164651736
2019-03-20,-0.012917906091520374
2019-03-27,0.010231746704493479
2019-04-03,-0.0029256104958766543
2019-04-10,0.013812141308614242
2019-04-17,-0.0018039752108900593
2019-04-24,-0.009236104124331224
2019-05-01,-0.019659577179824188
2019-05-08,-0.009480288973586697
2019-05-15,0.00958638897568175
2019-05-23,-0.01177198462903052
2019-05-30,-0.019022643558562844
2019-06-06,0.0022925041206332828
2019-06-13,-0.0068123323953692555
2019-06-20,-0.006783380536065662
2019-06-27,0.000693604080953502
2019-07-04,0.00922629139405842
2019-07-11,-0.006133111484431954
2019-07-18,0.003521496689203921
2019-07-25,0.008694466097009532
2019-08-01,-0.04110333117366834
2019-08-08,-0.0025592392655490607
2019-08-15,0.008128207666661003
2019-08-22,-0.007244014193522651
2019-08-29,0.002641695426005945
2019-09-05,0.020315777133625985
2019-09-12,0.005198995220162316
2019-09-19,-0.01022952294298726
2019-09-26,-0.007416744147697466
2019-10-03,0.00019771510546568905
2019-10-10,0.020304407019067328
2019-10-17,-0.00045661060328943054
2019-10-24,0.002203530760936154
2019-10-31,0.002016483427644498
2019-11-07,-0.0016202112451333167
2019-11-14,-0.0052649516701126975
2019-11-21,0.01601167389840929
2019-11-28,-0.010878309484640417
2019-12-05,-0.005454624321107979
2019-12-12,0.020264640272347794
2019-12-19,-0.0032936412470223196
2019-12-26,-0.014212442482381906
2020-01-02,0.006240687792779575
2020-01-09,0.015051881375375586
2020-01-16,-0.0028521258201685057
2020-01-23,-0.014303056209707293
2020-01-30,0.013963863593945657
2020-02-06,0.0005150666485371222
2020-02-13,0.024163816491474616
2020-02-20,-0.015239426393012616
2020-02-27,-0.040247374248095144
2020-03-05,-0.03759065902293537
2020-03-12,0.033418418755614146
2020-03-19,0.02056899381010279
2020-03-26,-0.022943539058779727
2020-04-02,0.011051726895310093
2020-04-09,-0.011087207748889279
2020-04-16,0.00206417898720108
2020-04-23,-0.014123639873481017
2020-04-30,-0.005778069159210017
2020-05-07,0.00880868965429154
2020-05-14,0.007946075338783283
2020-05-21,0.0026366717398981806
2020-05-28,0.016985009376535392
2020-06-04,-0.025066521506113586
2020-06-11,-0.0009677015663731245
2020-06-18,0.0019199273628258966
2020-06-25,0.0046122359518083016
2020-07-02,-0.0010772134235368755
2020-07-09,-0.005411197485280263
2020-07-16,0.003969246135755257
2020-07-23,-0.034332989397923966
2020-07-30,0.007819580379217372
2020-08-06,0.016369524862981988
2020-08-13,-0.012059219838850584
2020-08-20,-0.003060905609869841
2020-08-27,0.004531497807930337
2020-09-03,0.0002668928130477161
2020-09-10,-0.017594261988076645
2020-09-17,0.0037554403589804045
2020-09-24,0.0024688455504923903
2020-10-01,0.009491756184267258
2020-10-08,-0.016290834567527536
2020-10-15,-0.00832567163778082
2020-10-22,-0.005819719133486679
2020-10-29,0.0020944096477195136
2020-11-05,0.017811503644237222
2020-11-12,-0.018669627605019556
2020-11-19,0.00843669016950295
2020-11-26,0.0009714533998677239
2020-12-03,-0.0035411466530612173
2020-12-10,-0.013424248069423326
2020-12-17,0.0014766755955690713
2020-12-24,-0.0077452886141992135
2020-12-31,-0.0018213190111577976
2021-01-07,0.0152003881082998
2021-01-14,-0.004620863273818175
2021-01-21,0.01074465323666366
2021-01-28,0.01571477404838633
2021-02-04,-0.007111245935111821
2021-02-11,0.020532964194051716
2021-02-18,0.0013947543911430266
2021-02-25,0.01779250395397054
2021-03-04,0.023619261642062434
2021-03-11,0.006462299036289041
2021-03-18,-0.001578723460142719
2021-03-25,0.03649277784854555
2021-04-01,-0.016595662377449524
2021-04-08,-0.016836177087286245
2021-04-15,-0.01441854036496425
2021-04-22,0.007996767608631558
