,RMSE,MAE,QLIKE
naive,0.00235,0.00175,0.18884
rolling5,0.00214,0.00159,0.13883
rolling50,0.00187,0.00139,0.10127
ewma090,0.00312,0.00235,0.60697
ewma030,0.0022,0.00162,0.13744
har,0.00187,0.00141,0.10101
garch11,0.00189,0.00148,0.10072
ols,0.00184,0.00139,0.0978
elastic_net_1,0.00223,0.00184,0.13745
elastic_net_1e-3,0.00223,0.00184,0.13745
gb_tree,0.00186,0.0014,0.09634
