,RMSE,MAE,QLIKE
naive,0.00354,0.00255,0.19881
rolling5,0.00326,0.00232,0.14621
rolling50,0.00272,0.00193,0.09842
ewma090,0.00443,0.00325,0.5711
ewma030,0.00325,0.00232,0.13883
har,0.00267,0.0019,0.09528
garch11,0.00271,0.00197,0.09641
ols,0.00266,0.0019,0.09436
elastic_net_1,0.00291,0.00215,0.11498
elastic_net_1e-3,0.00291,0.00215,0.11498
gb_tree,0.0026,0.00185,0.08965
