,RMSE,MAE,QLIKE
naive,0.00307,0.00226,0.21856
rolling5,0.00279,0.00205,0.15404
rolling50,0.00247,0.00177,0.11145
ewma090,0.00384,0.00284,0.64466
ewma030,0.00282,0.00206,0.15307
har,0.00243,0.00175,0.11136
garch11,0.00246,0.00187,0.11068
ols,0.00238,0.00173,0.10514
elastic_net_1,0.0026,0.00187,0.12441
elastic_net_1e-3,0.0026,0.00187,0.12441
gb_tree,0.00233,0.00169,0.10218
